date,BTC,VIX,ETH,bitcoin,cryptocurrency,ethereum,crypto,btc,eth,crypto crash,bitcoin crash,buy bitcoin,sell bitcoin,crypto bull run,solana,altcoin,bitcoin price,crypto wallet
2018-09-05,6792.830078125,13.90999984741211,232.33099365234375,60,7,7,9,15,88,2,3,16,4,0,5,2,51,1
2018-09-06,6529.169921875,14.649999618530272,230.21499633789065,68,7,7,10,17,95,3,5,21,3,0,6,1,69,0
2018-09-07,6467.06982421875,14.880000114440918,217.2030029296875,52,5,6,8,14,76,1,0,18,3,0,6,1,48,1
2018-09-10,6329.7001953125,14.15999984741211,197.07899475097656,46,5,7,8,13,84,0,0,17,3,0,6,1,44,1
2018-09-11,6321.2001953125,13.220000267028809,185.0659942626953,49,6,7,8,13,92,0,2,20,3,0,5,1,45,1
2018-09-12,6351.7998046875,13.140000343322754,183.33099365234375,53,7,9,9,13,100,2,3,16,3,0,5,1,50,1
2018-09-13,6517.31005859375,12.369999885559082,211.35400390625,48,6,7,8,13,97,2,0,20,4,0,5,1,48,0
2018-09-14,6512.7099609375,12.06999969482422,211.74899291992188,45,5,6,8,12,87,1,1,19,3,0,6,1,42,1
2018-09-17,6281.2001953125,13.68000030517578,197.875,43,5,5,8,13,95,0,1,15,3,0,6,1,36,1
2018-09-18,6371.2998046875,12.789999961853027,209.9750061035156,43,5,5,8,12,95,0,1,16,2,0,5,1,38,0
2018-09-19,6398.5400390625,11.75,209.968994140625,43,5,5,8,12,91,0,1,18,4,0,6,1,37,1
2018-09-20,6519.669921875,11.800000190734863,224.59100341796875,42,5,4,8,12,87,0,1,17,2,0,6,1,35,1
2018-09-21,6734.9501953125,11.68000030517578,246.58399963378903,47,7,6,9,14,94,0,0,17,4,0,6,2,41,1
2018-09-24,6595.41015625,12.199999809265137,228.72999572753903,42,5,4,8,12,87,0,0,15,2,0,6,1,37,1
2018-09-25,6446.47021484375,12.420000076293944,218.5050048828125,45,6,5,8,18,83,0,0,16,3,0,6,1,35,0
2018-09-26,6495.0,12.890000343322754,215.8470001220703,42,6,4,8,14,78,0,0,18,3,0,6,2,33,1
2018-09-27,6676.75,12.40999984741211,228.49400329589844,42,5,4,8,12,82,0,0,16,4,0,5,1,33,1
2018-09-28,6644.1298828125,12.119999885559082,222.40199279785156,42,5,4,9,12,76,0,0,16,2,0,5,2,33,1
2018-10-01,6589.6201171875,12.0,230.76800537109375,38,5,4,9,11,71,0,0,16,2,0,6,1,30,1
2018-10-02,6556.10009765625,12.050000190734863,227.18099975585935,38,5,4,10,12,71,0,0,17,3,0,6,2,30,0
2018-10-03,6502.58984375,11.609999656677246,220.4889984130859,39,5,4,10,12,70,0,0,16,2,0,5,1,31,0
2018-10-04,6576.68994140625,14.220000267028809,222.2180023193359,37,5,4,8,12,73,0,0,16,2,0,5,1,29,1
2018-10-05,6622.47998046875,14.81999969482422,227.6009979248047,38,5,4,9,11,65,0,0,17,2,0,5,1,29,1
2018-10-08,6652.22998046875,15.6899995803833,229.2550048828125,38,5,4,8,13,71,0,0,15,3,0,6,1,29,1
2018-10-09,6642.64013671875,15.949999809265137,227.98199462890625,37,5,4,9,12,66,0,0,15,2,0,6,1,28,1
2018-10-10,6585.52978515625,22.959999084472656,225.7689971923828,40,5,4,9,11,72,0,0,17,3,0,6,1,32,1
2018-10-11,6256.240234375,24.979999542236328,189.49899291992188,53,7,5,10,14,71,3,4,16,3,0,6,2,47,0
2018-10-12,6274.580078125,21.309999465942383,196.7270050048828,42,5,4,9,13,73,0,1,16,3,0,5,1,39,1
2018-10-15,6596.5400390625,21.299999237060547,209.70399475097656,45,5,4,8,14,76,0,0,15,3,0,6,1,37,0
2018-10-16,6596.10986328125,17.6200008392334,210.1199951171875,42,5,4,8,13,71,0,0,19,2,0,5,1,36,0
2018-10-17,6544.43017578125,17.399999618530273,207.08299255371097,40,5,4,8,12,67,0,0,15,3,0,6,1,29,1
2018-10-18,6476.7099609375,20.059999465942383,203.3520050048828,39,5,4,8,13,64,0,0,15,2,0,5,1,28,1
2018-10-19,6465.41015625,19.88999938964844,203.7270050048828,36,4,4,7,12,63,0,1,15,2,0,6,1,28,0
2018-10-22,6487.16015625,19.63999938964844,204.04400634765625,37,5,4,8,11,66,0,0,13,2,0,6,1,26,0
2018-10-23,6475.740234375,20.709999084472656,204.33599853515625,38,5,4,8,12,69,0,0,16,3,0,5,1,29,1
2018-10-24,6495.83984375,25.229999542236328,203.8520050048828,38,5,4,8,11,66,0,0,16,2,0,5,1,29,1
2018-10-25,6476.2900390625,24.219999313354492,202.718994140625,37,5,4,7,11,64,0,0,15,2,0,5,1,28,0
2018-10-26,6474.75,24.15999984741211,203.32899475097656,35,4,3,7,11,59,0,0,15,3,0,6,1,26,1
2018-10-29,6332.6298828125,24.700000762939453,197.2469940185547,39,5,3,7,11,66,0,2,14,2,0,5,1,28,1
2018-10-30,6334.27001953125,23.350000381469727,197.55599975585935,39,5,3,8,11,68,0,1,15,2,0,6,1,28,1
2018-10-31,6317.60986328125,21.229999542236328,197.38099670410156,40,4,4,7,11,76,0,1,16,2,0,5,1,28,1
2018-11-01,6377.77978515625,19.34000015258789,198.8719940185547,37,4,4,7,10,69,0,0,16,3,0,5,1,26,1
